0,1,2,3,4,5,6,7
122.71902,0.007676117,291.35324,25.726257,0.00019924901,10.125317,2.882438e-06,0.76342773
143.28688,0.009269827,292.73114,25.331705,0.00022071894,9.274241,3.8169437e-06,0.85839844
47.8702,3.3150583e-05,295.73816,17.956665,0.006760394,3.6160138,9.475891e-06,0.049316406
221.60852,0.007900195,296.63367,21.261917,0.0025406587,7.8507032,1.2358044e-05,0.99072266
26.09637,8.843906e-06,286.83145,24.566406,0.00023205482,10.577314,-2.669978e-05,0.013916016
193.00494,0.23719546,294.09555,22.95429,0.00040349236,7.792207,1.9101646e-05,1.0
50.45917,0.091600105,292.38248,25.81294,0.00017716167,10.355939,-1.8531871e-05,0.954834
203.56725,0.034407146,291.7787,24.939169,0.00041579167,9.697523,-7.504945e-06,0.97998047
93.21252,0.07851186,290.48605,24.650894,0.00012492531,12.398811,-1.1407532e-05,0.9987793
88.80513,0.016542822,289.70032,24.872545,0.00020405673,11.93508,-6.596453e-06,0.97753906
14.024121,0.010500604,293.0732,25.659678,0.00022763593,10.562835,7.5049365e-07,0.42529297
218.01472,0.004324381,289.2436,25.005486,0.00058570993,11.683819,-2.5774368e-06,0.9970703
83.98923,0.004677587,289.9167,23.420856,0.0001860613,11.276649,-8.622243e-06,0.5847168
214.65648,0.036939267,295.55597,18.780535,0.003699848,4.8166723,-1.7692306e-05,0.9309082
197.89537,0.025245957,295.43408,22.937132,0.00029967184,8.315017,-7.0590804e-06,0.99438477
39.716488,0.004280363,293.92255,18.52116,0.00015541381,9.472647,2.3655107e-06,0.8840332
169.4899,0.002081571,289.15472,24.85599,0.00054498523,11.742779,1.0934855e-08,0.99609375
102.13076,0.007327683,289.8357,24.940859,0.00026936512,11.636642,1.3122365e-06,0.97802734
154.161,0.007104095,290.33173,25.33454,0.00033462825,11.044902,1.0177982e-06,0.8935547
242.53467,0.10922578,288.66693,24.515078,0.00095748896,11.043587,-6.0096286e-06,0.9394531
245.48749,0.09547499,293.89355,24.436563,0.00013023877,9.1107645,1.1765232e-05,1.0
147.52339,0.0002130314,295.0738,18.05959,0.007746054,3.2720313,3.1044933e-06,0.4152832
59.378662,0.0017714744,293.29242,19.094563,0.00018508706,9.1757965,-1.2170781e-06,0.7937012
76.40007,0.019939974,292.81177,25.623356,0.00020650975,9.113922,-3.3696706e-06,0.8234863
31.8754,0.005136914,293.1663,18.745691,0.00011494201,9.32925,1.2867102e-05,0.8876953
123.51811,0.15862954,293.13232,22.112373,0.0006642111,6.3552074,3.5762723e-06,0.9970703
287.39896,0.008119638,287.67545,23.161667,0.0008543711,10.551651,-7.644483e-06,0.75268555
239.96234,0.012345366,294.1896,19.587978,0.002344477,4.9767194,5.7847938e-06,0.8461914
235.36589,0.015675995,295.0247,19.801128,0.0022430338,4.630697,-6.2923864e-06,0.70043945
35.858624,0.13222754,292.45978,24.899237,0.00015251846,11.91581,2.7352305e-06,0.96606445
213.36436,0.08913073,292.87762,24.412271,0.00018651425,9.4521675,6.763643e-06,1.0
