D Particles,X Position,Y Position,Z Position,X Velocity,Y Velocity,Z Velocity,T Velocity
342278.4598,10.50286137,8.589520964,12.99984911,9.366581357,6.568900349,11.79817521,26.3294179
352686.6097,9.264335528,7.563343292,11.56751618,10.63926581,7.460124107,13.52907005,30.48939844
460031.7928,10.76946794,8.815892697,13.49560694,11.99051827,8.410025579,15.18936533,34.08752157
470094.7422,11.91886465,9.769072721,14.85648097,11.28647333,7.9142609,14.19652523,31.64240194
436840.3289,11.6186315,9.517927826,14.45460325,10.77850081,7.557764081,13.55794195,30.22153713
432839.1346,11.89649859,9.748876706,14.77248031,10.49972716,7.362137595,13.17608874,29.30036971
362800.595,11.10596701,9.096527588,13.73013567,9.471870351,6.647800092,11.89215593,26.42367154
337368.4175,9.416543237,7.701460964,11.7053834,10.12583153,7.111299101,12.84621324,28.82164607
,,,,,,,
431218.5433,10.18765845,8.332843401,12.76950444,11.82793727,8.296181705,15.01565894,33.76940312
481978.551,11.86071206,9.728454998,14.79757256,11.60841757,8.146678103,14.61550501,32.57146055
440565.9121,11.68898257,9.576535909,14.54255566,10.81043706,7.580133245,13.59449778,30.2949442
439126.7324,11.82594139,9.694717654,14.69455339,10.69752826,7.504769174,13.43607588,29.88363925
386839.481,11.56736683,9.480517728,14.3071996,9.724424997,6.824642821,12.18871325,27.03809912
328863.0825,9.657184305,7.884381466,11.99384272,9.641121355,6.757761418,12.2101983,27.41932591
395976.4141,9.623570686,7.855436432,12.06547757,11.43531268,8.012733331,14.54526215,32.81895903
481409.287,11.50367178,9.420847079,14.39393359,11.83780953,8.298063358,14.94373983,33.44529028
450043.8443,11.82004242,9.687544802,14.70814195,10.92978867,7.6653211,13.73950162,30.59827991
438378.9352,11.6859376,9.574573118,14.53474892,10.76673642,7.550057673,13.53762917,30.16075047
409858.6846,11.84326024,9.709004674,14.66761815,10.05219195,7.052905092,12.59597413,27.94309754
335761.74,10.21891954,8.35807644,12.6521383,9.41875798,6.609140393,11.88210186,26.5379442
365602.1278,9.316864452,7.60402754,11.65368446,10.9315453,7.662300333,13.90740924,31.37223503
470627.8427,11.0476317,9.043805978,13.84163545,11.9817235,8.400945803,15.16096945,34.00088409
462522.525,11.89633712,9.748139568,14.82088341,11.13399541,7.805582842,14.0009327,31.20748691
438316.445,11.66852758,9.568088004,14.50411026,10.80361105,7.583062569,13.5829749,30.22015395
427774.9735,11.94682405,9.796879887,14.81520967,10.37730732,7.281901511,13.01048714,28.87404113
350808.7737,10.78326936,8.823608993,13.33978179,9.386472534,6.583866496,11.8050517,26.29793944
342529.8915,9.246736822,7.545042394,11.53508684,10.36386074,7.264090484,13.17405461,29.69460882
446776.4481,10.47298368,8.565864417,13.1329796,11.92973967,8.364127241,15.13164171,34.01942755
475626.9387,11.88936557,9.744068844,14.83153142,11.42439526,8.010428545,14.37813217,32.06863305
438072.7177,11.64663278,9.542060556,14.4881762,10.78838246,7.56541062,13.56843188,30.2365675
437086.068,11.88480447,9.743512198,14.76014361,10.61287235,7.445282468,13.32194897,29.61258912
373594.8511,11.33257579,9.283626117,14.01377807,9.570223527,6.715393763,12.00523381,26.65910999
331246.4924,9.478540019,7.741224619,11.78261324,9.867643701,6.920505776,12.51295515,28.11316009
414207.7106,9.888459197,8.077049444,12.40220372,11.65771611,8.170270658,14.81704104,33.39791216
482040.494,11.68419874,9.571049467,14.60550539,11.70941518,8.208069487,14.76422088,33.00402698
444056.9906,11.73825171,9.616766521,14.60661419,10.84913281,7.606492354,13.64170333,30.40108986
440751.5833,11.80813676,9.686649391,14.66778648,10.76669025,7.559263358,13.52404628,30.04895004
397402.4222,11.69713332,9.583989215,14.48132054,9.862024322,6.916840711,12.36067013,27.44241599
,,,,,,,
330648.7445,9.900891351,8.089490987,12.27794291,9.508085399,6.667402215,12.02065146,26.93030477
382327.327,9.490953534,7.753632059,11.87764333,11.23238938,7.877684483,14.28526569,32.18882031
478180.9943,11.31288518,9.263927121,14.16385717,11.92753771,8.362552613,15.0726999,33.76064787
456702.2603,11.89980395,9.758513451,14.80594995,11.03146659,7.740549956,13.86387072,30.84586007
437657.7386,11.64812898,9.543555516,14.4889321,10.77905479,7.559104569,13.55608206,30.20634894
418479.7224,11.88948442,9.744189428,14.7396149,10.19874654,7.152493827,12.78477019,28.39149633
343209.5063,10.53862886,8.631520214,13.02784174,9.404215048,6.606116158,11.8386076,26.34431037
354701.4737,9.287159589,7.585463804,11.59338993,10.68424842,7.494424091,13.58449589,30.5951474
461977.4426,10.81867216,8.85900145,13.55325701,12.00019725,8.41877504,15.19758853,34.08608294
469007.4458,11.91114085,9.761196507,14.84760241,11.26414926,7.89733823,14.16873422,31.58809301
